DATE,VALUE,COMMENT
01/11/48,3.8,"Ronnie O'Sullivan played Stuart Bingham in the third first round match. O'Sullivan took a lead of 6�2 after the first session of the match, before winning frame nine and a 45-minute frame ten to lead 8�2.[12] Although Bingham replied by winning frame 11, O'Sullivan took frame 12 to win the match 9�3.[9][13]"
01/12/48,4,"The fourth and final first round match was a repeat of the 2018 Masters final, with Mark Allen drawing Kyren Wilson. Allen took an early lead, finishing 6�2 after the initial session of the match,[13] and increased his lead to 7�2 with a century. Wilson captured the next three frames, before Allen won frame 13 to lead 8�5. Wilson won the next two frames to trail 7�8, before losing his momentum in frame 16 allowing Allen to make a break of 71.[9][12] The top four seeds all won their first round matches to progress to the semi-finals.[11]"
01/01/49,4.3,"In the second round, which took place on 21 and 22 March, the four remaining players competed in two best-of-19-frames matches, each played over two sessions. The first semi-final was played on 21 March, between Judd Trump and Ronnie O'Sullivan. The pair were the highest two in the ranking list for the Coral Cup, both having won one of the previous two events in the Coral series: Trump winning the World Grand Prix, and O'Sullivan the Players Championship.[12] This semi-final was a rematch of the season's Masters final, and the two players also met in the final of the 2018 Northern Ireland Open, Trump winning on both occasions.[14]"
01/02/49,4.7,"Trump took the first frame in the opening session of the match with a break of 54, before O'Sullivan tied the score at one frame apiece.[15] Trump won frames three and four to lead 3�1 at the interval.[15] He also won frame five, before O'Sullivan made a century to trail by two frames. Trump took the remaining two frames of the session to lead 6�2.[14]"
01/03/49,5,"O'Sullivan clinched the first two frames of the second session to reduce his deficit to 4�6, before Trump won two of the next three frames to lead 8�5. O'Sullivan won both frames 14 and 15 with two century breaks of 130 and 134 to trail 7�8, and won a tense frame 16 to tie the match.[15] Trump won a scrappy frame 17 to lead again, before O'Sullivan won frame 18 to send the match into the final frame.[16] In the decider, Trump secured the first chance, but his break ended at 50 points. Despite a waistcoat foul on his previous shot, O'Sullivan was given another opportunity to clear the table, but he missed the final red near the cushion rail, allowing his opponent back on the table.[17] Trump missed the match-winning yellow close to the cushion into the green pocket,[15] which eventually allowed O'Sullivan to clear the table to complete the comeback on the final black ball.[16][18]"
01/04/49,5.3,"The first round was held from 19 to 20 March, all matches being played over two sessions as best-of-17-frames matches. Neil Robertson played Mark Selby in the opening match of the tournament. Robertson progressed into an early lead, taking the first two frames with breaks of 88 and 110.[5] Selby then won six frames in a row, including three century breaks, to lead 6�2 after the first session.[5]"
01/05/49,6.1,"The 2019 Tour Championship was a professional snooker ranking tournament, held from 19 to 24 March 2019 in Llandudno, Wales. Organised by the World Professional Billiards and Snooker Association, this was the first edition of the Tour Championship and the third and final event of the inaugural Coral Cup. It was the eighteenth ranking event of the 2018/2019 season."
01/06/49,6.2,"The draw for the Tour Championship comprised the top eight players based on the single year ranking list, taking part in a single elimination tournament. Each match was played over a minimum of two sessions, the final as best-of-25-frames over two days. The winner of the tournament won �150,000 out of a total prize fund of �375,000. The event was sponsored by betting company Coral."
01/07/49,6.7,"In a repeat of the Players Championship final two weeks prior, Ronnie O'Sullivan met Neil Robertson in the final. O'Sullivan won the match 13�11 to claim his 36th ranking title, equalling Stephen Hendry's record of ranking event wins. On winning the tournament, O'Sullivan returned to the world number one position for the first time since May 2010, and won the Coral Cup. In regaining the ranking, he also became the oldest world number one since Ray Reardon in 1983. This was O'Sullivan's third ranking title win of the season, having won the UK Championship and the Players Championship earlier in the season."
01/08/49,6.8,"The event featured 22 century breaks made by six players. The tournament's highest break prize of �5,000 was won by Robertson, scoring a break of 135 in frame 16 of his first round victory over Mark Selby."
01/09/49,6.6,"The 2019 Tour Championship was the third and final event in the 2019 Coral Cup series, first introduced in the 2018/2019 season, after the World Grand Prix and the Players Championship. The players qualified for the series by virtue of their placement on the one-year ranking list, rather than by world ranking. The event featured the top eight players from the one-year ranking list taking part in a single elimination tournament. The Tour Championship was played from 19 to 24 March 2019 in Llandudno, Wales and organised by the World Professional Billiards and Snooker Association.[1]"
01/10/49,7.9,"The Tour Championship was the first event since the 2010 UK Championship (and other than the World Championship) in which every match was played over multiple sessions, with two in the quarter-finals and semi-finals, and three sessions in the final.[2] The best-of-25-frames final, held on 23 and 24 March, was the first non-World Championship match of this length or longer since the 1992 UK Championship final.[3]"
01/11/49,6.4,"The tournament was primarily broadcast by ITV4 in the United Kingdom.[4] It also aired on Sky Sport in New Zealand, NowTV in Hong Kong, and Superstars Online in China. Eurosport did not broadcast the event, despite covering all but one of the other snooker tournaments this season.[4][a] The event was sponsored by sports betting company Coral.[3]"
01/12/49,6.6,"Robertson won the first three frames of the second session, to reduce his deficit to 5�6. Selby missed the frame ball pink in frame 12, allowing Robertson to tie the match at 6�6.[6] Robertson also took frame 13 to lead the match for the first time since frame two. Selby won frame 14 despite requiring three snookers, and also frame 15, to lead the match again at 8�7, before Robertson took the match to a decider with a break of 135.[6] Frame 17 � the final frame of the match � lasted over an hour and went to the final black. After Selby attempted a double, Robertson potted the black ball to win the frame and match.[6][7]"
01/01/50,6.5,"Reigning Masters champion Judd Trump drew reigning World champion Mark Williams in the second first round match.[8] The pair were tied at 4�4 after the first session, but Williams won four of the next five frames to lead 8�5. Trump then completed a comeback and won the next four frames to come through another final frame decider.[9] Post match, Trump commented that Williams ""controlled"" the match, but missed too many long pots towards the end of the match.[10][11]"
01/02/50,6.4,"Ronnie O'Sullivan played Stuart Bingham in the third first round match. O'Sullivan took a lead of 6�2 after the first session of the match, before winning frame nine and a 45-minute frame ten to lead 8�2.[12] Although Bingham replied by winning frame 11, O'Sullivan took frame 12 to win the match 9�3.[9][13]"
01/03/50,6.3,"The fourth and final first round match was a repeat of the 2018 Masters final, with Mark Allen drawing Kyren Wilson. Allen took an early lead, finishing 6�2 after the initial session of the match,[13] and increased his lead to 7�2 with a century. Wilson captured the next three frames, before Allen won frame 13 to lead 8�5. Wilson won the next two frames to trail 7�8, before losing his momentum in frame 16 allowing Allen to make a break of 71.[9][12] The top four seeds all won their first round matches to progress to the semi-finals.[11]"
01/04/50,5.8,"In the second round, which took place on 21 and 22 March, the four remaining players competed in two best-of-19-frames matches, each played over two sessions. The first semi-final was played on 21 March, between Judd Trump and Ronnie O'Sullivan. The pair were the highest two in the ranking list for the Coral Cup, both having won one of the previous two events in the Coral series: Trump winning the World Grand Prix, and O'Sullivan the Players Championship.[12] This semi-final was a rematch of the season's Masters final, and the two players also met in the final of the 2018 Northern Ireland Open, Trump winning on both occasions.[14]"
01/05/50,5.5,"Trump took the first frame in the opening session of the match with a break of 54, before O'Sullivan tied the score at one frame apiece.[15] Trump won frames three and four to lead 3�1 at the interval.[15] He also won frame five, before O'Sullivan made a century to trail by two frames. Trump took the remaining two frames of the session to lead 6�2.[14]"
01/06/50,5.4,"O'Sullivan clinched the first two frames of the second session to reduce his deficit to 4�6, before Trump won two of the next three frames to lead 8�5. O'Sullivan won both frames 14 and 15 with two century breaks of 130 and 134 to trail 7�8, and won a tense frame 16 to tie the match.[15] Trump won a scrappy frame 17 to lead again, before O'Sullivan won frame 18 to send the match into the final frame.[16] In the decider, Trump secured the first chance, but his break ended at 50 points. Despite a waistcoat foul on his previous shot, O'Sullivan was given another opportunity to clear the table, but he missed the final red near the cushion rail, allowing his opponent back on the table.[17] Trump missed the match-winning yellow close to the cushion into the green pocket,[15] which eventually allowed O'Sullivan to clear the table to complete the comeback on the final black ball.[16][18]"
01/07/50,5,"The first round was held from 19 to 20 March, all matches being played over two sessions as best-of-17-frames matches. Neil Robertson played Mark Selby in the opening match of the tournament. Robertson progressed into an early lead, taking the first two frames with breaks of 88 and 110.[5] Selby then won six frames in a row, including three century breaks, to lead 6�2 after the first session.[5]"
01/08/50,4.5,"The 2019 Tour Championship was a professional snooker ranking tournament, held from 19 to 24 March 2019 in Llandudno, Wales. Organised by the World Professional Billiards and Snooker Association, this was the first edition of the Tour Championship and the third and final event of the inaugural Coral Cup. It was the eighteenth ranking event of the 2018/2019 season."
01/09/50,4.4,"The draw for the Tour Championship comprised the top eight players based on the single year ranking list, taking part in a single elimination tournament. Each match was played over a minimum of two sessions, the final as best-of-25-frames over two days. The winner of the tournament won �150,000 out of a total prize fund of �375,000. The event was sponsored by betting company Coral."
01/10/50,4.2,"In a repeat of the Players Championship final two weeks prior, Ronnie O'Sullivan met Neil Robertson in the final. O'Sullivan won the match 13�11 to claim his 36th ranking title, equalling Stephen Hendry's record of ranking event wins. On winning the tournament, O'Sullivan returned to the world number one position for the first time since May 2010, and won the Coral Cup. In regaining the ranking, he also became the oldest world number one since Ray Reardon in 1983. This was O'Sullivan's third ranking title win of the season, having won the UK Championship and the Players Championship earlier in the season."
01/11/50,4.2,"The event featured 22 century breaks made by six players. The tournament's highest break prize of �5,000 was won by Robertson, scoring a break of 135 in frame 16 of his first round victory over Mark Selby."
01/12/50,4.3,"The 2019 Tour Championship was the third and final event in the 2019 Coral Cup series, first introduced in the 2018/2019 season, after the World Grand Prix and the Players Championship. The players qualified for the series by virtue of their placement on the one-year ranking list, rather than by world ranking. The event featured the top eight players from the one-year ranking list taking part in a single elimination tournament. The Tour Championship was played from 19 to 24 March 2019 in Llandudno, Wales and organised by the World Professional Billiards and Snooker Association.[1]"
01/01/51,3.7,"The Tour Championship was the first event since the 2010 UK Championship (and other than the World Championship) in which every match was played over multiple sessions, with two in the quarter-finals and semi-finals, and three sessions in the final.[2] The best-of-25-frames final, held on 23 and 24 March, was the first non-World Championship match of this length or longer since the 1992 UK Championship final.[3]"
01/02/51,3.4,"The tournament was primarily broadcast by ITV4 in the United Kingdom.[4] It also aired on Sky Sport in New Zealand, NowTV in Hong Kong, and Superstars Online in China. Eurosport did not broadcast the event, despite covering all but one of the other snooker tournaments this season.[4][a] The event was sponsored by sports betting company Coral.[3]"
01/03/51,3.4,"Robertson won the first three frames of the second session, to reduce his deficit to 5�6. Selby missed the frame ball pink in frame 12, allowing Robertson to tie the match at 6�6.[6] Robertson also took frame 13 to lead the match for the first time since frame two. Selby won frame 14 despite requiring three snookers, and also frame 15, to lead the match again at 8�7, before Robertson took the match to a decider with a break of 135.[6] Frame 17 � the final frame of the match � lasted over an hour and went to the final black. After Selby attempted a double, Robertson potted the black ball to win the frame and match.[6][7]"
01/04/51,3.1,"Reigning Masters champion Judd Trump drew reigning World champion Mark Williams in the second first round match.[8] The pair were tied at 4�4 after the first session, but Williams won four of the next five frames to lead 8�5. Trump then completed a comeback and won the next four frames to come through another final frame decider.[9] Post match, Trump commented that Williams ""controlled"" the match, but missed too many long pots towards the end of the match.[10][11]"
01/05/51,3,"Ronnie O'Sullivan played Stuart Bingham in the third first round match. O'Sullivan took a lead of 6�2 after the first session of the match, before winning frame nine and a 45-minute frame ten to lead 8�2.[12] Although Bingham replied by winning frame 11, O'Sullivan took frame 12 to win the match 9�3.[9][13]"
01/06/51,3.2,"The fourth and final first round match was a repeat of the 2018 Masters final, with Mark Allen drawing Kyren Wilson. Allen took an early lead, finishing 6�2 after the initial session of the match,[13] and increased his lead to 7�2 with a century. Wilson captured the next three frames, before Allen won frame 13 to lead 8�5. Wilson won the next two frames to trail 7�8, before losing his momentum in frame 16 allowing Allen to make a break of 71.[9][12] The top four seeds all won their first round matches to progress to the semi-finals.[11]"
01/07/51,3.1,"In the second round, which took place on 21 and 22 March, the four remaining players competed in two best-of-19-frames matches, each played over two sessions. The first semi-final was played on 21 March, between Judd Trump and Ronnie O'Sullivan. The pair were the highest two in the ranking list for the Coral Cup, both having won one of the previous two events in the Coral series: Trump winning the World Grand Prix, and O'Sullivan the Players Championship.[12] This semi-final was a rematch of the season's Masters final, and the two players also met in the final of the 2018 Northern Ireland Open, Trump winning on both occasions.[14]"
01/08/51,3.1,"Trump took the first frame in the opening session of the match with a break of 54, before O'Sullivan tied the score at one frame apiece.[15] Trump won frames three and four to lead 3�1 at the interval.[15] He also won frame five, before O'Sullivan made a century to trail by two frames. Trump took the remaining two frames of the session to lead 6�2.[14]"
01/09/51,3.3,"O'Sullivan clinched the first two frames of the second session to reduce his deficit to 4�6, before Trump won two of the next three frames to lead 8�5. O'Sullivan won both frames 14 and 15 with two century breaks of 130 and 134 to trail 7�8, and won a tense frame 16 to tie the match.[15] Trump won a scrappy frame 17 to lead again, before O'Sullivan won frame 18 to send the match into the final frame.[16] In the decider, Trump secured the first chance, but his break ended at 50 points. Despite a waistcoat foul on his previous shot, O'Sullivan was given another opportunity to clear the table, but he missed the final red near the cushion rail, allowing his opponent back on the table.[17] Trump missed the match-winning yellow close to the cushion into the green pocket,[15] which eventually allowed O'Sullivan to clear the table to complete the comeback on the final black ball.[16][18]"
01/01/48,3.4,"The first round was held from 19 to 20 March, all matches being played over two sessions as best-of-17-frames matches. Neil Robertson played Mark Selby in the opening match of the tournament. Robertson progressed into an early lead, taking the first two frames with breaks of 88 and 110.[5] Selby then won six frames in a row, including three century breaks, to lead 6�2 after the first session.[5]"
01/02/48,3.8,"The 2019 Tour Championship was a professional snooker ranking tournament, held from 19 to 24 March 2019 in Llandudno, Wales. Organised by the World Professional Billiards and Snooker Association, this was the first edition of the Tour Championship and the third and final event of the inaugural Coral Cup. It was the eighteenth ranking event of the 2018/2019 season."
01/03/48,4,"The draw for the Tour Championship comprised the top eight players based on the single year ranking list, taking part in a single elimination tournament. Each match was played over a minimum of two sessions, the final as best-of-25-frames over two days. The winner of the tournament won �150,000 out of a total prize fund of �375,000. The event was sponsored by betting company Coral."
01/04/48,3.9,"In a repeat of the Players Championship final two weeks prior, Ronnie O'Sullivan met Neil Robertson in the final. O'Sullivan won the match 13�11 to claim his 36th ranking title, equalling Stephen Hendry's record of ranking event wins. On winning the tournament, O'Sullivan returned to the world number one position for the first time since May 2010, and won the Coral Cup. In regaining the ranking, he also became the oldest world number one since Ray Reardon in 1983. This was O'Sullivan's third ranking title win of the season, having won the UK Championship and the Players Championship earlier in the season."
01/05/48,3.5,"The event featured 22 century breaks made by six players. The tournament's highest break prize of �5,000 was won by Robertson, scoring a break of 135 in frame 16 of his first round victory over Mark Selby."
01/06/48,3.6,"The 2019 Tour Championship was the third and final event in the 2019 Coral Cup series, first introduced in the 2018/2019 season, after the World Grand Prix and the Players Championship. The players qualified for the series by virtue of their placement on the one-year ranking list, rather than by world ranking. The event featured the top eight players from the one-year ranking list taking part in a single elimination tournament. The Tour Championship was played from 19 to 24 March 2019 in Llandudno, Wales and organised by the World Professional Billiards and Snooker Association.[1]"
01/07/48,3.6,"The Tour Championship was the first event since the 2010 UK Championship (and other than the World Championship) in which every match was played over multiple sessions, with two in the quarter-finals and semi-finals, and three sessions in the final.[2] The best-of-25-frames final, held on 23 and 24 March, was the first non-World Championship match of this length or longer since the 1992 UK Championship final.[3]"
01/08/48,3.9,"The tournament was primarily broadcast by ITV4 in the United Kingdom.[4] It also aired on Sky Sport in New Zealand, NowTV in Hong Kong, and Superstars Online in China. Eurosport did not broadcast the event, despite covering all but one of the other snooker tournaments this season.[4][a] The event was sponsored by sports betting company Coral.[3]"
01/09/48,3.8,"Robertson won the first three frames of the second session, to reduce his deficit to 5�6. Selby missed the frame ball pink in frame 12, allowing Robertson to tie the match at 6�6.[6] Robertson also took frame 13 to lead the match for the first time since frame two. Selby won frame 14 despite requiring three snookers, and also frame 15, to lead the match again at 8�7, before Robertson took the match to a decider with a break of 135.[6] Frame 17 � the final frame of the match � lasted over an hour and went to the final black. After Selby attempted a double, Robertson potted the black ball to win the frame and match.[6][7]"
01/10/48,3.7,"Reigning Masters champion Judd Trump drew reigning World champion Mark Williams in the second first round match.[8] The pair were tied at 4�4 after the first session, but Williams won four of the next five frames to lead 8�5. Trump then completed a comeback and won the next four frames to come through another final frame decider.[9] Post match, Trump commented that Williams ""controlled"" the match, but missed too many long pots towards the end of the match.[10][11]"
01/11/48,3.8,"Ronnie O'Sullivan played Stuart Bingham in the third first round match. O'Sullivan took a lead of 6�2 after the first session of the match, before winning frame nine and a 45-minute frame ten to lead 8�2.[12] Although Bingham replied by winning frame 11, O'Sullivan took frame 12 to win the match 9�3.[9][13]"
01/12/48,4,"The fourth and final first round match was a repeat of the 2018 Masters final, with Mark Allen drawing Kyren Wilson. Allen took an early lead, finishing 6�2 after the initial session of the match,[13] and increased his lead to 7�2 with a century. Wilson captured the next three frames, before Allen won frame 13 to lead 8�5. Wilson won the next two frames to trail 7�8, before losing his momentum in frame 16 allowing Allen to make a break of 71.[9][12] The top four seeds all won their first round matches to progress to the semi-finals.[11]"
01/01/49,4.3,"In the second round, which took place on 21 and 22 March, the four remaining players competed in two best-of-19-frames matches, each played over two sessions. The first semi-final was played on 21 March, between Judd Trump and Ronnie O'Sullivan. The pair were the highest two in the ranking list for the Coral Cup, both having won one of the previous two events in the Coral series: Trump winning the World Grand Prix, and O'Sullivan the Players Championship.[12] This semi-final was a rematch of the season's Masters final, and the two players also met in the final of the 2018 Northern Ireland Open, Trump winning on both occasions.[14]"
01/02/49,4.7,"Trump took the first frame in the opening session of the match with a break of 54, before O'Sullivan tied the score at one frame apiece.[15] Trump won frames three and four to lead 3�1 at the interval.[15] He also won frame five, before O'Sullivan made a century to trail by two frames. Trump took the remaining two frames of the session to lead 6�2.[14]"
01/03/49,5,"O'Sullivan clinched the first two frames of the second session to reduce his deficit to 4�6, before Trump won two of the next three frames to lead 8�5. O'Sullivan won both frames 14 and 15 with two century breaks of 130 and 134 to trail 7�8, and won a tense frame 16 to tie the match.[15] Trump won a scrappy frame 17 to lead again, before O'Sullivan won frame 18 to send the match into the final frame.[16] In the decider, Trump secured the first chance, but his break ended at 50 points. Despite a waistcoat foul on his previous shot, O'Sullivan was given another opportunity to clear the table, but he missed the final red near the cushion rail, allowing his opponent back on the table.[17] Trump missed the match-winning yellow close to the cushion into the green pocket,[15] which eventually allowed O'Sullivan to clear the table to complete the comeback on the final black ball.[16][18]"
01/04/49,5.3,"The first round was held from 19 to 20 March, all matches being played over two sessions as best-of-17-frames matches. Neil Robertson played Mark Selby in the opening match of the tournament. Robertson progressed into an early lead, taking the first two frames with breaks of 88 and 110.[5] Selby then won six frames in a row, including three century breaks, to lead 6�2 after the first session.[5]"
01/05/49,6.1,"The 2019 Tour Championship was a professional snooker ranking tournament, held from 19 to 24 March 2019 in Llandudno, Wales. Organised by the World Professional Billiards and Snooker Association, this was the first edition of the Tour Championship and the third and final event of the inaugural Coral Cup. It was the eighteenth ranking event of the 2018/2019 season."
01/06/49,6.2,"The draw for the Tour Championship comprised the top eight players based on the single year ranking list, taking part in a single elimination tournament. Each match was played over a minimum of two sessions, the final as best-of-25-frames over two days. The winner of the tournament won �150,000 out of a total prize fund of �375,000. The event was sponsored by betting company Coral."
01/07/49,6.7,"In a repeat of the Players Championship final two weeks prior, Ronnie O'Sullivan met Neil Robertson in the final. O'Sullivan won the match 13�11 to claim his 36th ranking title, equalling Stephen Hendry's record of ranking event wins. On winning the tournament, O'Sullivan returned to the world number one position for the first time since May 2010, and won the Coral Cup. In regaining the ranking, he also became the oldest world number one since Ray Reardon in 1983. This was O'Sullivan's third ranking title win of the season, having won the UK Championship and the Players Championship earlier in the season."
01/08/49,6.8,"The event featured 22 century breaks made by six players. The tournament's highest break prize of �5,000 was won by Robertson, scoring a break of 135 in frame 16 of his first round victory over Mark Selby."
01/09/49,6.6,"The 2019 Tour Championship was the third and final event in the 2019 Coral Cup series, first introduced in the 2018/2019 season, after the World Grand Prix and the Players Championship. The players qualified for the series by virtue of their placement on the one-year ranking list, rather than by world ranking. The event featured the top eight players from the one-year ranking list taking part in a single elimination tournament. The Tour Championship was played from 19 to 24 March 2019 in Llandudno, Wales and organised by the World Professional Billiards and Snooker Association.[1]"
01/10/49,7.9,"The Tour Championship was the first event since the 2010 UK Championship (and other than the World Championship) in which every match was played over multiple sessions, with two in the quarter-finals and semi-finals, and three sessions in the final.[2] The best-of-25-frames final, held on 23 and 24 March, was the first non-World Championship match of this length or longer since the 1992 UK Championship final.[3]"
01/11/49,6.4,"The tournament was primarily broadcast by ITV4 in the United Kingdom.[4] It also aired on Sky Sport in New Zealand, NowTV in Hong Kong, and Superstars Online in China. Eurosport did not broadcast the event, despite covering all but one of the other snooker tournaments this season.[4][a] The event was sponsored by sports betting company Coral.[3]"
01/12/49,6.6,"Robertson won the first three frames of the second session, to reduce his deficit to 5�6. Selby missed the frame ball pink in frame 12, allowing Robertson to tie the match at 6�6.[6] Robertson also took frame 13 to lead the match for the first time since frame two. Selby won frame 14 despite requiring three snookers, and also frame 15, to lead the match again at 8�7, before Robertson took the match to a decider with a break of 135.[6] Frame 17 � the final frame of the match � lasted over an hour and went to the final black. After Selby attempted a double, Robertson potted the black ball to win the frame and match.[6][7]"
01/01/50,6.5,"Reigning Masters champion Judd Trump drew reigning World champion Mark Williams in the second first round match.[8] The pair were tied at 4�4 after the first session, but Williams won four of the next five frames to lead 8�5. Trump then completed a comeback and won the next four frames to come through another final frame decider.[9] Post match, Trump commented that Williams ""controlled"" the match, but missed too many long pots towards the end of the match.[10][11]"
01/02/50,6.4,"Ronnie O'Sullivan played Stuart Bingham in the third first round match. O'Sullivan took a lead of 6�2 after the first session of the match, before winning frame nine and a 45-minute frame ten to lead 8�2.[12] Although Bingham replied by winning frame 11, O'Sullivan took frame 12 to win the match 9�3.[9][13]"
01/03/50,6.3,"The fourth and final first round match was a repeat of the 2018 Masters final, with Mark Allen drawing Kyren Wilson. Allen took an early lead, finishing 6�2 after the initial session of the match,[13] and increased his lead to 7�2 with a century. Wilson captured the next three frames, before Allen won frame 13 to lead 8�5. Wilson won the next two frames to trail 7�8, before losing his momentum in frame 16 allowing Allen to make a break of 71.[9][12] The top four seeds all won their first round matches to progress to the semi-finals.[11]"
01/04/50,5.8,"In the second round, which took place on 21 and 22 March, the four remaining players competed in two best-of-19-frames matches, each played over two sessions. The first semi-final was played on 21 March, between Judd Trump and Ronnie O'Sullivan. The pair were the highest two in the ranking list for the Coral Cup, both having won one of the previous two events in the Coral series: Trump winning the World Grand Prix, and O'Sullivan the Players Championship.[12] This semi-final was a rematch of the season's Masters final, and the two players also met in the final of the 2018 Northern Ireland Open, Trump winning on both occasions.[14]"
01/05/50,5.5,"Trump took the first frame in the opening session of the match with a break of 54, before O'Sullivan tied the score at one frame apiece.[15] Trump won frames three and four to lead 3�1 at the interval.[15] He also won frame five, before O'Sullivan made a century to trail by two frames. Trump took the remaining two frames of the session to lead 6�2.[14]"
01/06/50,5.4,"O'Sullivan clinched the first two frames of the second session to reduce his deficit to 4�6, before Trump won two of the next three frames to lead 8�5. O'Sullivan won both frames 14 and 15 with two century breaks of 130 and 134 to trail 7�8, and won a tense frame 16 to tie the match.[15] Trump won a scrappy frame 17 to lead again, before O'Sullivan won frame 18 to send the match into the final frame.[16] In the decider, Trump secured the first chance, but his break ended at 50 points. Despite a waistcoat foul on his previous shot, O'Sullivan was given another opportunity to clear the table, but he missed the final red near the cushion rail, allowing his opponent back on the table.[17] Trump missed the match-winning yellow close to the cushion into the green pocket,[15] which eventually allowed O'Sullivan to clear the table to complete the comeback on the final black ball.[16][18]"
01/07/50,5,"The first round was held from 19 to 20 March, all matches being played over two sessions as best-of-17-frames matches. Neil Robertson played Mark Selby in the opening match of the tournament. Robertson progressed into an early lead, taking the first two frames with breaks of 88 and 110.[5] Selby then won six frames in a row, including three century breaks, to lead 6�2 after the first session.[5]"
01/08/50,4.5,"The 2019 Tour Championship was a professional snooker ranking tournament, held from 19 to 24 March 2019 in Llandudno, Wales. Organised by the World Professional Billiards and Snooker Association, this was the first edition of the Tour Championship and the third and final event of the inaugural Coral Cup. It was the eighteenth ranking event of the 2018/2019 season."
01/09/50,4.4,"The draw for the Tour Championship comprised the top eight players based on the single year ranking list, taking part in a single elimination tournament. Each match was played over a minimum of two sessions, the final as best-of-25-frames over two days. The winner of the tournament won �150,000 out of a total prize fund of �375,000. The event was sponsored by betting company Coral."
01/10/50,4.2,"In a repeat of the Players Championship final two weeks prior, Ronnie O'Sullivan met Neil Robertson in the final. O'Sullivan won the match 13�11 to claim his 36th ranking title, equalling Stephen Hendry's record of ranking event wins. On winning the tournament, O'Sullivan returned to the world number one position for the first time since May 2010, and won the Coral Cup. In regaining the ranking, he also became the oldest world number one since Ray Reardon in 1983. This was O'Sullivan's third ranking title win of the season, having won the UK Championship and the Players Championship earlier in the season."
01/11/50,4.2,"The event featured 22 century breaks made by six players. The tournament's highest break prize of �5,000 was won by Robertson, scoring a break of 135 in frame 16 of his first round victory over Mark Selby."
